"filename", "language", "JSON", "JavaScript", "Markdown", "TypeScript", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\logicItems\displayNewItems.js", "JavaScript", 0, 152, 0, 0, 0, 0, 0, 11, 163
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\staticItems\staticItemName.js", "JavaScript", 0, 923, 0, 0, 0, 0, 1, 50, 974
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Items\staticItems\staticNavigationCatalogue.js", "JavaScript", 0, 110, 0, 0, 0, 0, 0, 9, 119
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Login\CostumStepper.js", "JavaScript", 0, 149, 0, 0, 0, 0, 15, 26, 190
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Login\FirsStep.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 7, 60
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Login\LoginPage.js", "JavaScript", 0, 218, 0, 0, 0, 0, 0, 18, 236
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Login\SecondStep.js", "JavaScript", 0, 148, 0, 0, 0, 0, 0, 21, 169
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Login\TextFieldLogin.js", "JavaScript", 0, 22, 0, 0, 0, 0, 1, 5, 28
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Login\UserRegister.js", "JavaScript", 0, 317, 0, 0, 0, 0, 2, 28, 347
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Message\Conversation.js", "JavaScript", 0, 189, 0, 0, 0, 0, 0, 19, 208
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Message\CostumItem\DialogForPropose.js", "JavaScript", 0, 214, 0, 0, 0, 0, 0, 17, 231
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Message\CostumItem\SecondPageDialog.js", "JavaScript", 0, 178, 0, 0, 0, 0, 0, 18, 196
"c:\Users\Stefa\Desktop\Frips2\Frips\frips-clients\src\components\Message\Message.js", "JavaScript", 0, 389, 0, 0, 0, 0, 0, 12, 401
